irradiance,temperature_panneau,temperature_ambiante,tension_voc,courant_isc,puissance_mpp,tension_mpp,courant_mpp,resistance_serie,resistance_shunt,fill_factor,efficacite,temps_fonctionnement,humidite,vitesse_vent,facteur_idealite,classe
952.6826,49.3468,39.9243,11.9168,2.0506,35.5526,6.6947,5.3106,0.6569,100.0,50.0,4.2661,18436.1446,69.4208,3.9046,1.8406,2
379.9683,39.645,25.3383,41.3839,4.0159,102.3482,28.791,3.5549,0.3238,7062.9244,61.387,11.9959,30835.6829,67.7136,5.7757,1.1922,5
870.8838,29.0904,21.1007,41.9263,11.1014,303.6216,39.6918,7.6495,0.1651,8799.0557,65.2329,16.7182,7719.2671,25.4634,1.8978,1.3454,0
535.599,30.2123,37.1811,5.2068,1.3704,0.0,8.4884,0.0,0.6038,119.8685,40.0,4.6741,17445.3385,50.5647,18.3374,1.6557,2
467.2661,19.6762,28.2541,42.2113,9.5375,146.8489,33.9127,4.3302,3.9433,4780.5293,42.0,13.356,37621.1952,42.9934,9.6547,1.6816,6
671.9542,41.3556,28.4185,39.7267,6.025,261.0351,28.2353,9.245,0.2774,1019.9488,54.0,10.5794,5950.0499,43.254,14.1123,1.527,1
915.0658,50.9311,18.568,38.1766,7.491,144.1215,27.7055,5.2019,1.4377,1478.6523,48.3787,9.6702,10435.1094,68.5517,9.2981,1.7428,1
740.2473,61.174,15.5516,39.8702,10.1,346.3601,32.3083,10.7205,0.1845,7117.3525,85.0,19.3082,12387.3433,33.9041,9.1397,1.1822,0
806.4734,32.5974,13.0583,17.4638,2.4298,0.1609,2.9372,0.0548,0.3514,100.0,40.0,3.0483,5919.0292,38.322,15.4524,1.9127,2
870.7752,32.5264,13.1589,41.8728,8.7476,374.0675,36.9637,10.1198,0.4882,7570.9416,85.0,20.0816,19924.1236,22.785,5.5645,1.2393,0
708.7506,29.1294,13.7052,38.8892,8.7478,246.141,33.3298,7.385,1.3715,2100.179,68.0,10.7398,43171.47,26.2308,2.5712,1.6244,7
883.9365,54.949,25.6856,34.9587,0.0,0.2311,0.0,0.0,4.8616,6520.8355,44.8319,0.0,19239.1544,93.3174,9.4757,1.177,3
880.0216,24.9137,11.6657,33.7344,6.4323,249.9106,31.2827,7.9888,0.9277,906.0516,54.0,13.8968,16022.7041,60.2868,8.2729,1.3256,1
935.8351,31.6253,20.096,38.9515,10.5205,396.9117,35.0134,11.336,0.5501,6975.5509,85.0,20.1106,15037.0489,47.799,4.2771,1.1241,0
868.1247,73.276,36.6657,34.2777,5.974,144.0185,27.1268,5.3091,1.5218,454.1826,62.0,11.5183,37544.7489,69.294,11.876,1.7447,4
328.5589,32.2071,2.4946,45.5003,0.0,0.0,0.5182,0.0836,4.6384,6520.5872,45.5871,0.0,11888.3485,48.3705,10.6164,1.2669,3
604.8999,44.2319,25.2197,14.569,2.0452,37.5854,13.0212,2.8865,0.2928,100.0,50.0,4.5271,28244.7069,84.1182,10.822,1.9062,2
1083.2514,63.7434,35.2969,29.8012,7.1026,197.448,34.1505,5.7817,1.3811,2387.7576,68.0,13.3286,45752.2858,30.7122,16.2782,1.4976,7
1094.751,43.6563,25.283,36.9868,11.3598,402.0269,40.0125,10.0475,0.5302,6290.5109,85.0,20.1742,3126.6102,57.3339,5.4468,1.1676,0
991.1856,41.2509,19.0891,45.1623,8.8393,411.0789,31.2108,13.0,0.569,8085.064,85.0,19.1135,8506.9102,24.0423,3.3416,1.4231,0
727.9553,62.4543,31.0377,44.3913,9.2597,338.6066,35.3388,9.5817,0.6408,7442.2142,82.376,17.6938,16452.1299,64.154,10.6526,1.2444,0
723.099,48.4992,21.1247,36.2889,8.8505,189.2441,30.6444,6.1755,1.0944,1888.2244,59.4002,9.5672,44980.9628,31.5415,14.815,1.9003,7
975.1591,31.1462,20.1993,24.8604,6.9653,119.0783,29.6823,4.0118,0.5356,460.6191,62.0,10.8031,9911.6866,84.806,6.2162,1.5977,4
870.7083,66.6574,7.9595,42.1023,0.0,0.3966,0.3123,0.0,4.2557,7655.4322,44.3855,0.1874,27656.1867,61.4755,17.3612,1.2569,3
675.6628,53.5328,21.4429,33.3845,8.7556,275.749,25.4466,10.8364,4.2193,2690.9087,65.0,12.1802,12596.0234,37.0682,11.7475,1.6037,6
679.748,43.618,26.4519,37.3452,7.1115,149.7557,30.995,4.8316,0.7861,5772.3053,58.0,15.9073,16790.822,16.1695,1.742,1.4786,5
525.1553,49.6027,9.2808,12.5727,1.7956,8.0064,1.6849,4.752,0.6119,100.0,40.0,4.4614,28719.4391,73.5133,10.0508,1.6611,2
774.6077,26.4781,28.3101,36.2405,9.5919,219.8544,29.8371,7.3685,1.5153,1148.7631,62.8523,9.4983,34468.6433,84.2083,11.6989,1.3572,7
845.2974,46.9752,34.4842,32.7395,7.6103,96.0437,18.0636,5.317,1.5686,154.8149,40.0,8.9818,19323.0756,44.8284,5.7872,1.5387,4
421.8337,56.6601,19.4995,32.1323,3.5865,84.9619,35.6511,2.3831,0.8821,7351.441,72.4925,10.7194,31018.5292,10.0,7.5177,1.2372,5
501.1046,31.5664,18.3675,35.0837,5.9955,247.9787,34.0128,7.2907,1.0699,787.8742,68.0,10.0913,49609.615,58.7467,8.8213,1.4383,7
